"year","month","day","type","authors","title","venue","detail","place","award","url","doi","note","reviewed","sortkey"
"2025","05","","domestic","高橋亮*†,韓燦教,雪田和歌子,J. S. Ho,笹谷拓也,野田聡人,横田知之,染谷隆夫,川原圭博","Full-body NFC: メアンダ形状の電子ニットによる全身電池レス無線センサネットワーク","UBI研究会","第86回セッション2:IoT","東京","優秀論文賞","https://sigubi.ipsj.or.jp/seminar86/","","","no","20250500"
"2025","04","26","demo","Y. Li, M. Fukumoto, M. Kari, T. Yokota, T. Someya, Y. Kawahara, and R. Takahashi†","Demo of picoRing mouse: ultra-low-powered wireless mouse ring with ring-to-wristband coil-based impedance sensing","Extended Abstracts of the CHI Conference on Human Factors in Computing Systems (CHI EA ’25)","Article 707, pp. 1-5","Yokohama, Japan","","https://doi.org/10.1145/3706599.3721183","10.1145/3706599.3721183","","yes","20250426"
"2025","03","04","conference","Y. Li, R. Takahashi, W. Yukita, K. Matsutani, C. Caremel, Y. Iwamoto, S. Lee, T. Yokota, T. Someya, and Y. Kawahara","Plug-n-play e-knit: prototyping large-area e-textiles using machine-knitted magnetically-repositionable sensor networks","Proc. of TEI 2025","Article No. 56, pp. 1-7","Bordeaux, France","","https://dl.acm.org/doi/10.1145/3689050.3705973","","","yes","20250304"
"2025","03","","domestic","黒田楓馬,金田礼人,高橋亮,亀﨑允啓,川原圭博","強化学習による移動関節ヘビ型ロボットの移動パターン獲得","情報処理学会 総合大会","5J-05","大阪","","https://www.gakkai-web.net/ipsj/87/program87.html","","","no","20250300"
"2025","01","19","conference","T. Sato, S. Watanabe, R. Takahashi, W. Yukita, T. Yokota, T. Someya, Y. Kawahara, E. Iwase, and J. Kurumida","Friction Jointing of Distributed Rigid Capacitors to Stretchable Liquid Metal Coil for Full-Body Wireless Charging Clothing","IEEE MEMS 2025","pp. 181-184","Taiwan","","https://ieeexplore.ieee.org/document/10917417","","","yes","20250119"
"2024","12","","domestic","R. Takahashi*†, E. Whitmire, R. Boldu, S. Ng, W. Kienzle, and H. Benko","picoRing: バッテリーレスな指輪型入力デバイス","第32回インタラクティブシステムとソフトウェアに関するワークショップ(WISS2024)","国際学会招待発表枠","日本","","","","招待論文","no","20241200"
"2024","11","","domestic","佐藤峻,渡邉慎人,高橋亮,川原圭博,岩瀬英治,来見田淳也","全身無線給電服に向けた分散コンデンサ付き液体金属メアンダ配線の検討","第15 回マイクロ・ナノ工学シンポジウム","マイクロナノシステム","仙台","優秀講演論文","https://www.jsme.or.jp/conference/mnm2024/","","","no","20241100"
"2024","11","","domestic","高橋亮*†,野田聡人,韓燦教,横田知之,染谷隆夫,川原圭博","医療デジタルツインの実現に向けた全身無線通信・給電服の設計","超知性ネットワーキングに関する分野横断型研究会(RISING)","41.0","北海道","","","","ポスター講演","no","20241100"
"2024","10","13","conference","R. Takahashi*†, E. Whitmire, R. Boldu, S. Ng, W. Kienzle, and H. Benko","picoRing: battery-free rings for subtle thumb-to-index input","Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology (UIST'24)","Article No. 13, pp. 1-11","Pittsburgh, USA","","https://doi.org/10.1145/3654777.3676365","10.1145/3654777.3676365","","yes","20241013"
"2024","10","","domestic","高橋亮*†,野田聡人,韓燦教,横田知之,染谷隆夫,川原圭博","医療デジタルツインの実現に向けた全身無線通信・給電服の設計","革新的無線通信技術に関する横断型研究会(MIKA2024)","80.0","岡山","","","","ポスター講演","no","20241000"
"2024","09","","domestic","黒田楓馬,高橋亮,金田礼人,佐藤峻,亀﨑允啓,川原圭博","自在関節索状ロボットのインナーワイヤレス化に向けた無線給電ソフトロボットスキンの検討","第42回日本ロボット学会学術講演会","1C2-02","大阪","","https://ac.rsj-web.org/2024/program.html","","","no","20240900"
